entry,take,dice,fpfn_ratio,log_ratio,s1,s2,tp,fp,fn
SF,12,0.814711041002504,0.23289782736347622,-1.4571554307593286,50552,40101,36928,3173,13624
SF,13,0.7930932652387652,0.9964800536372779,-0.0035261559498116555,28794,28773,22828,5945,5966
SF,14,0.7892679057116954,0.4528762574470163,-0.7921363531833558,38097,32495,27858,4637,10239
SF,15,0.6889469526645197,0.25990647304947084,-1.34743343172152,29196,20175,17007,3168,12189
SF,16,0.8718935547987694,0.6789447486311598,-0.38721552641152696,40462,38527,34435,4092,6027
SF,17,0.8279504259441097,1.5589105979869746,0.44398724268850936,36265,39097,31198,7899,5067
SF,18,0.8221245304132363,1.9839098954143202,0.6850695922135784,29443,33112,25714,7398,3729
SF,19,0.837564592226466,0.25439167208848407,-1.36888018355323,39046,32170,29824,2346,9222
SF,20,0.42567816374125445,5.9139268562984855,1.7773100534637933,9643,22945,6936,16009,2707
SF,21,0.7901228584583323,0.5337347264034,-0.6278563304863959,21950,19317,16303,3014,5647
SF,22,0.7855936972425436,0.17572977481234361,-1.738807834217371,37816,27933,25826,2107,11990
SF,23,0.8097315486205202,0.45579858737753476,-0.7857042613909443,35970,31193,27192,4001,8778
SF,24,0.4435386554396503,29.787833827893174,3.3941000493412714,8944,28347,8270,20077,674
SF,25,0.8215745512706594,1.5658062867365192,0.44840089051524207,27028,29242,23115,6127,3913
SF,26,0.8163934426229508,0.7581481974191832,-0.2768764013424694,36899,35081,29382,5699,7517
SF,27,0.766692127373772,0.10290730249642034,-2.273926671736742,45172,30762,29109,1653,16063
SF,28,0.7596737982039091,0.35549348230912475,-1.034248363777163,33749,26827,23009,3818,10740
SF,29,0.8296479487925517,0.48958498966449354,-0.714197206619003,29101,25891,22812,3079,6289
SF,30,0.7601397539115905,0.23070927513639908,-1.466596910291576,26495,19586,17514,2072,8981
SF,31,0.7592522420108627,0.9002991026919243,-0.10502823454495008,32068,31268,24044,7224,8024
SF,32,0.7888815178452966,0.41767640769779046,-0.8730482905254483,40953,34417,29729,4688,11224
SF,33,0.8598869436364635,0.6394284796917643,-0.4471805020725013,37565,35319,31336,3983,6229
SF,34,0.6923383137390197,0.5952937938626669,-0.5187002241036317,20311,17370,13044,4326,7267
SF,35,0.8067538583108903,0.3426330532212885,-1.0710952201588322,33938,28071,25013,3058,8925
SF,36,0.8432960498371797,0.49749695575700176,-0.6981658414836147,37172,33458,29781,3677,7391
SF,37,0.8137430198333012,0.44324842800809977,-0.813624880547138,38965,33741,29582,4159,9383
SF,38,0.7217464832039358,0.21055447796134039,-1.558010856676634,38424,26621,23473,3148,14951
SF,39,0.8279619928248698,1.381753948462178,0.32335366930788545,32391,34228,27579,6649,4812
