entry,take,dice,fpfn_ratio,log_ratio,s1,s2,tp,fp,fn
FBT,32,0.42529028965165244,0.13900362471550198,-1.9732552691015044,33725,13297,9999,3298,23726
FBT,33,0.4990848456646502,0.14558354026250445,-1.9270051972575526,22139,10096,8044,2052,14095
FBT,34,0.32320792565603634,0.0850260886686575,-2.464797144070203,38368,10486,7895,2591,30473
FBT,35,0.5614681466281131,0.27992921799496356,-1.2732185006455223,26732,16152,12039,4113,14693
FBT,36,0.4829115293099719,0.10169751901067671,-2.2857523714004433,39433,16043,13395,2648,26038
FBT,37,0.43808127548449166,0.180575608817018,-1.7116057035043617,30340,13314,9562,3752,20778
FBT,38,0.5277365718477464,0.06687534524028724,-2.704924911307707,43342,18003,16187,1816,27155
FBT,39,0.475754529314881,0.15163048585659242,-1.8863087319497152,32403,14348,11121,3227,21282
FSA,0,0.7038362997777288,0.8199353560629757,-0.1985297759009486,30332,28605,20741,7864,9591
FSA,1,0.8484401464240835,1.1833923652105471,0.16838519966836507,36140,37072,31058,6014,5082
FSA,2,0.7520497136907861,5.3113871635610765,1.6698530372131777,25530,35942,23115,12827,2415
FSA,3,0.8496133325340207,0.9953865733375755,-0.004624101359149465,41717,41688,35431,6257,6286
FSA,4,0.8556523124303085,1.2490175801447776,0.2223573064205064,37064,38268,32229,6039,4835
FSA,5,0.6486468061899243,16.500848896434636,2.803411827851884,20208,38468,19030,19438,1178
FSA,6,0.7974690711434476,5.878846153846154,1.7713605103153616,30249,40397,28169,12228,2080
FSA,7,0.8168172070959776,1.5539046928791447,0.44077091987108186,36944,40001,31425,8576,5519
FSA,8,0.8225115014638227,0.7036758248651361,-0.35143750491958625,39437,37075,31466,5609,7971
FSA,9,0.8117287942675324,1.0197030664631608,0.019511473604430157,38586,38728,31379,7349,7207
FSA,10,0.8403336551872117,2.2780837004405288,0.8233346073001729,34963,39605,31331,8274,3632
FSA,11,0.8590482374266158,4.050896752302472,1.3989382769301841,33816,40110,31753,8357,2063
FSA,12,0.8504037779797023,3.509645061728395,1.2555149103498966,35816,42321,33224,9097,2592
FSA,13,0.7853961278061528,12.597365945437442,2.5334877401536184,27512,39840,26449,13391,1063
FSA,14,0.8459235727158873,4.464788732394366,1.496221896835965,29539,35935,27693,8242,1846
FSA,15,0.8558714647188602,2.8569046030687124,1.0497387320956773,37330,42897,34332,8565,2998
FSA,16,0.785283408510407,11.241673121611154,2.4196276876237204,30191,43413,28900,14513,1291
FSA,17,0.8488044234501446,3.517505470459519,1.2577520652175698,37512,44415,34770,9645,2742
FSA,18,0.8142801343645028,5.618596881959911,1.7260819676023837,27855,36150,26059,10091,1796
FSA,19,0.8222130555842013,3.8022284122562673,1.3355873191307812,34764,42812,31892,10920,2872
FSA,20,0.8363370677057964,0.5574530373261771,-0.5843770171760325,40821,37193,32623,4570,8198
FSA,21,0.8136461216149807,1.1125934613693007,0.1066937417491935,38279,39047,31458,7589,6821
FSA,22,0.7902695984137789,0.9746447478406242,-0.025682235569059856,33882,33700,26704,6996,7178
FSA,23,0.7929831416769008,2.2920550377274744,0.8294488115342886,32917,38739,28411,10328,4506
FSA,24,0.820285854426409,0.5906108026249369,-0.5265980189067491,45861,41806,35956,5850,9905
FSA,25,0.760543859405968,0.5557856821251689,-0.5873725228454763,38542,33609,27437,6172,11105
FSA,26,0.8158807856744532,0.8735813366960908,-0.13515403789176014,32679,31877,26335,5542,6344
FSA,27,0.588256014653563,3.107889650325075,1.1339439268316698,22391,34387,16700,17687,5691
FSA,28,0.8141083206886941,1.2786107420762953,0.24577413075137408,31559,33027,26290,6737,5269
FSA,29,0.78223889931207,7.4880823401950165,2.0133127354015596,29989,41966,28143,13823,1846
FSA,30,0.8895388895388895,1.241952506596306,0.21668474332467016,38003,38920,34213,4707,3790
FSA,31,0.8280503467762651,2.6952801545680374,0.991502152415702,35859,42001,32236,9765,3623
FSA,32,0.8009043635541487,0.8456057007125891,-0.16770210283035092,33725,32620,26568,6052,7157
FSA,33,0.7301891759750273,4.267254038179148,1.4509705379807158,22139,31039,19415,11624,2724
FSA,34,0.8021222090740042,1.021923996811055,0.021687121903671183,38368,38533,30842,7691,7526
FSA,35,0.7311126777111973,8.939196525515744,2.190445711043119,26732,41356,24890,16466,1842
FSA,36,0.8407829540603128,0.7738541366388008,-0.2563718771071256,39433,37864,32495,5369,6938
FSA,37,0.7670842503244738,4.23628290516968,1.4436862114320446,30340,40544,27187,13357,3153
FSA,38,0.8465530577110207,0.30670349516625944,-1.181873811884285,43342,36816,33929,2887,9413
FSA,39,0.7916863486065187,1.5258636119563271,0.42256055269256876,32403,35341,26816,8525,5587
FSB,0,0.6045201899363198,0.5448989862678841,-0.607154847795101,30332,24002,16423,7579,13909
FSB,1,0.7395895835833434,0.5111420612813371,-0.6711077209936538,36140,30524,24652,5872,11488
FSB,2,0.7300956782460898,1.2031176929072487,0.1849162650478273,25530,26833,19115,7718,6415
FSB,3,0.7971084459802825,0.5435917262710226,-0.6095568170729596,41717,36995,31371,5624,10346
FSB,4,0.716334257520198,0.4598036207425591,-0.7769557920808435,37064,30022,24028,5994,13036
FSB,5,0.6879886282871357,1.062702527543746,0.060815217810684136,20208,20595,14036,6559,6172
FSB,6,0.7576807204652737,1.2335907335907337,0.20992921211805182,30249,31822,23515,8307,6734
FSB,7,0.6608443374358821,0.527308236244865,-0.6399700129112127,36944,29925,22095,7830,14849
FSB,8,0.7289932093297904,0.24494778244947782,-1.4067102240127198,39437,28303,24691,3612,14746
FSB,9,0.6878291092978505,0.3474341639302041,-1.0571800882423645,38586,28451,23055,5396,15531
FSB,10,0.7124001655603759,0.5998123987379551,-0.5111383414271368,34963,30270,23236,7034,11727
FSB,11,0.7481004019109729,0.814596307221676,-0.2050626170193522,33816,32119,24663,7456,9153
FSB,12,0.7593433668774304,0.5840171942164908,-0.5378248544357963,35816,31558,25580,5978,10236
FSB,13,0.7428301921018738,1.0146369191416797,0.014530833367081206,27512,27615,20475,7140,7037
FSB,14,0.7873616313641174,1.0745657161586366,0.07191659498700455,29539,29994,23437,6557,6102
FSB,15,0.7209540532630963,0.5021662071681764,-0.688824124112152,37330,31010,24635,6375,12695
FSB,16,0.7478336874783369,2.1108012641754974,0.747067621457429,30191,36166,24812,11354,5379
