neutral_take,style_take,dice,fpfn_ratio,log_ratio,s1,s2,tp,fp,fn
1,Happy10,0.7314148681055156,52.39730134932534,3.9588550890337024,49162,83444,48495,34949,667
2,Happy10,0.8029664491745998,55.50511247443763,4.016475133166444,56791,83444,56302,27142,489
3,Happy10,0.8091954022988506,55.97457627118644,4.024897592490761,57496,83444,57024,26420,472
4,Happy10,0.8395635138897377,10.795806290564153,2.379157752290465,63823,83444,61820,21624,2003
0,Happy11,0.5767747440273038,1709.4137931034484,7.44390577967295,33828,83372,33799,49573,29
1,Happy11,0.7380294867732053,135.15686274509804,4.906436050161326,49162,83372,48907,34465,255
2,Happy11,0.8000114152807802,37.663448275862066,3.628690082390022,56791,83372,56066,27306,725
3,Happy11,0.8085725643865179,48.47889908256881,3.881128632810325,57496,83372,56951,26421,545
4,Happy11,0.8260334929854954,7.453945196434467,2.008743448794255,63823,83372,60794,22578,3029
0,Happy12,0.5622900103123648,2391.3636363636365,7.779619041366537,33828,86416,33806,52610,22
1,Happy12,0.7212527106167668,139.4907063197026,4.93799797767798,49162,86416,48893,37523,269
2,Happy12,0.7889837787259003,100.74747474747475,4.612617135971478,56791,86416,56494,29922,297
3,Happy12,0.7912891211295792,52.82795698924731,3.967040539015392,57496,86416,56938,29478,558
4,Happy12,0.8195208967045841,10.992481203007518,2.39721151208797,63823,86416,61562,24854,2261
0,Happy13,0.571377732587697,454.72972972972974,6.119703241868704,33828,84192,33717,50475,111
1,Happy13,0.7347361159020351,204.6627906976744,5.321363701340462,49162,84192,48990,35202,172
2,Happy13,0.7973018023449636,47.60034013605442,3.862839906927273,56791,84192,56203,27989,588
3,Happy13,0.7989808593529445,30.894736842105264,3.430585840661656,57496,84192,56603,27589,893
4,Happy13,0.8317940749248387,9.996908127208481,2.3022758579066522,63823,84192,61559,22633,2264
0,Happy14,0.5409576509723644,19134.333333333332,9.859239557082153,33828,91228,33825,57403,3
1,Happy14,0.6999074008120236,1315.5625,7.182019609804061,49162,91228,49130,42098,32
2,Happy14,0.7659827454583533,341.96039603960395,5.834694929303356,56791,91228,56690,34538,101
3,Happy14,0.7686049326268793,99.9208211143695,4.604378083501426,57496,91228,57155,34073,341
4,Happy14,0.8128809230511251,35.08582089552239,3.5577970857662202,63823,91228,63019,28209,804
0,Relaxed15,0.683643245022215,50.95945945945946,3.9310304040541872,33828,63404,33236,30168,592
1,Relaxed15,0.8480891210489846,10.966410076976906,2.3948369715933486,49162,63404,47733,15671,1429
2,Relaxed15,0.892233453970631,3.086119873817035,1.1269145975861026,56791,63404,53621,9783,3170
3,Relaxed15,0.887394540942928,2.5333506358681546,0.9295427885488075,57496,63404,53643,9761,3853
4,Relaxed15,0.8766063807210733,0.9480084377714356,-0.05339187616394519,63823,63404,55764,7640,8059
0,Relaxed16,0.6919542395411394,37.073738680465716,3.6129088666891263,33828,61713,33055,28658,773
1,Relaxed16,0.8629177001127396,10.479607250755286,2.3494312021176817,49162,61713,47838,13875,1324
2,Relaxed16,0.8535576858165125,1.7918275418275418,0.5832360721021305,56791,61713,50575,11138,6216
3,Relaxed16,0.8302225503107987,1.5264011983522656,0.42291280679560833,57496,61713,49485,12228,8011
4,Relaxed16,0.8485056079530972,0.8002650511170011,-0.22281229229028768,63823,61713,53259,8454,10564
0,Relaxed17,0.7180419241487944,19.726315789473684,2.9819535711978267,33828,56955,32593,24362,1235
1,Relaxed17,0.8770319552946276,3.965372907153729,1.3775999003879262,49162,56955,46534,10421,2628
2,Relaxed17,0.8628874861533592,1.0212545360290306,0.021031808826305128,56791,56955,49075,7880,7716
3,Relaxed17,0.8492892154721234,0.9391793142214727,-0.0627488550428149,57496,56955,48601,8354,8895
4,Relaxed17,0.8485982546490255,0.45392382921205376,-0.7898258720828963,63823,56955,51246,5709,12577
